rank,title,score,user_score,release_date
480,Retro City Rampage,7.6,7.6,2012-10-09
481,The Walking Dead: The Telltale Series - A New Frontier Episode 4: Thicker than Water,6.1,6.1,2017-04-25
482,Marvel's Guardians of the Galaxy - Episode 4: Who Needs You,6.3,6.3,2017-10-10
483,Rad,5.8,5.8,2019-08-19
484,Minecraft: Story Mode Season Two - Episode 1: Hero in Residence,3.1,3.1,2017-07-11
485,Metal Dead,5.7,5.7,2011-12-21
486,The Detail,6.6,6.6,2016-04-28
487,Keep Talking and Nobody Explodes,8.0,8.0,2015-10-08
488,The Lion's Song: Episode 1 - Silence,8.1,8.1,2016-07-07
489,Aporia: Beyond The Valley,7.0,7.0,2017-07-19
490,Batman: The Enemy Within - Episode 2: The Pact,7.4,7.4,2017-09-26
491,Felix the Reaper,7.7,7.7,2019-10-17
492,Batman: The Enemy Within - Episode 3: The Fractured Mask,7.4,7.4,2017-11-21
493,Sherlock Holmes: Nemesis,7.2,7.2,2008-04-14
494,Emerald City Confidential,8.1,8.1,2009-02-19
495,Dreamfall Chapters,7.7,7.7,2016-06-17
496,Voyage: Inspired by Jules Verne,6.6,6.6,2005-08-18
497,Groundhog Day: Like Father Like Son,tbd,tbd,2019-09-17
498,Sentinel: Descendants in Time,6.0,6.0,2004-12-14
499,Cibele,3.9,3.9,2015-11-02
500,Black Mirror II: Reigning Evil,7.6,7.6,2011-02-08
501,Minecraft: Story Mode - Episode 1: The Order of the Stone,4.3,4.3,2015-10-13
502,Post Mortem,7.4,7.4,2003-02-27
503,The Order of the Thorne - The King's Challenge,8.0,8.0,2016-01-26
504,Back to the Future: The Game - Episode IV: Double Visions,5.9,5.9,2011-04-29
505,The Walking Dead: Michonne - Episode 3: What We Deserve,7.3,7.3,2016-04-26
506,Hector: Badge of Carnage - Episode 3: Beyond Reasonable Doom,6.5,6.5,2011-09-22
507,DARQ,7.7,7.7,2019-08-15
508,Bunker - The Underground Game,tbd,tbd,2015-05-21
509,Minecraft: Story Mode - Episode 5: Order Up!,5.9,5.9,2016-03-29
510,Papo & Yo,7.7,7.7,2013-04-18
511,Indygo,tbd,tbd,2017-10-24
512,Dead Synchronicity: Tomorrow Comes Today,7.6,7.6,2015-04-10
513,Vampire: The Masquerade - Coteries of New York,7.5,7.5,2019-12-11
514,Mage's Initiation: Reign of the Elements,7.7,7.7,2019-01-30
515,Tech Support: Error Unknown,5.1,5.1,2019-02-27
516,Overclocked: A History of Violence,6.3,6.3,2008-04-07
517,Iris.Fall,6.6,6.6,2018-12-07
518,Fran Bow,8.3,8.3,2015-08-27
519,Layers of Fear: Inheritance,6.9,6.9,2016-08-02
520,Slap Village: Chapter 1 - Reality Slap,tbd,tbd,2016-07-29
521,Blackwood Crossing,6.5,6.5,2017-04-04
522,Dark Nights with Poe and Munro,tbd,tbd,2020-05-19
523,Cognition: An Erica Reed Thriller Episode 4 - The Cain Killer,7.0,7.0,2013-09-19
524,Lumino City,7.6,7.6,2014-12-02
525,60 Parsecs!,6.6,6.6,2018-09-18
526,Law & Order: Dead on the Money,7.5,7.5,2002-09-24
527,Mosaic,6.2,6.2,2019-12-05
528,Wailing Heights,7.0,7.0,2016-04-27
529,The Council - Episode 2: Hide and Seek,6.8,6.8,2018-05-15
530,Marvel's Guardians of the Galaxy - Episode 1: Tangled Up in Blue,5.4,5.4,2017-04-18
531,Game of Thrones: Episode Six - The Ice Dragon,6.3,6.3,2015-11-17
532,The Whispered World,7.5,7.5,2010-04-26
533,Nostradamus: The Last Prophecy,6.2,6.2,2007-09-30
534,Giraffe and Annika,tbd,tbd,2020-02-17
535,Nancy Drew: Danger By Design,5.6,5.6,2006-07-11
536,Dracula: Origin,6.5,6.5,2008-05-23
537,The Moment of Silence,6.8,6.8,2005-03-01
538,Tokyo Dark,6.4,6.4,2017-09-07
539,Richard & Alice,6.8,6.8,2013-02-21
540,The Secrets of Da Vinci: The Forbidden Manuscript,7.0,7.0,2006-06-07
541,The Fidelio Incident,6.3,6.3,2017-05-23
542,Kaptain Brawe: A Brawe New World,tbd,tbd,2010-11-01
543,Nancy Drew: The Phantom of Venice,6.7,6.7,2008-07-11
544,The Walking Dead: The Telltale Series - A New Frontier,6.5,6.5,2016-12-20
