rank,title,score,user_score,release_date
492,Aurion: Legacy of the Kori-Odan,7.8,7.8,2016-04-14
493,Blackguards,7.1,7.1,2013-11-06
494,Blade & Soul,4.6,4.6,2016-01-19
495,Seven: The Days Long Gone,7.4,7.4,2017-12-01
496,Shiness: The Lightning Kingdom,7.4,7.4,2017-04-18
497,Fallout 76: Wastelanders,5.9,5.9,2020-04-16
498,Vanguard: Saga of Heroes,7.1,7.1,2007-01-30
499,Space Empires: Starfury,8.5,8.5,2003-09-29
500,Defragmented,tbd,tbd,2016-02-12
501,Gauntlet (2014),7.1,7.1,2014-09-23
502,Fallout 3: Mothership Zeta,5.7,5.7,2009-08-03
503,Costume Quest 2,7.5,7.5,2014-10-07
504,Throne of Darkness,8.6,8.6,2001-09-24
505,Avencast: Rise of the Mage,7.1,7.1,2007-11-08
506,Zwei: The Arges Adventure,tbd,tbd,2018-01-24
507,Final Fantasy III,6.8,6.8,2014-05-27
508,Mount & Blade: With Fire & Sword,7.0,7.0,2011-05-03
509,Space Rangers HD: A War Apart,8.6,8.6,2013-10-17
510,Shining Resonance Refrain,6.7,6.7,2018-07-09
511,Knights of Pen & Paper 2,5.7,5.7,2015-10-20
512,Last Word,8.1,8.1,2015-05-08
513,LEGRAND LEGACY: Tale of the Fatebounds,7.1,7.1,2018-01-24
514,Asheron's Call 2: Legions,7.9,7.9,2005-05-04
515,FORCED SHOWDOWN,7.5,7.5,2016-03-29
516,Fallout 4: Automatron,4.9,4.9,2016-03-22
517,Outward,7.3,7.3,2019-03-26
518,Elex,7.0,7.0,2017-10-17
519,Call of Cthulhu,6.8,6.8,2018-10-29
520,10000000,7.2,7.2,2013-01-15
521,Eschalon: Book III,6.7,6.7,2014-02-14
522,Sea of Thieves,4.2,4.2,2018-03-20
523,The Banner Saga: Factions,8.0,8.0,2013-02-25
524,Ittle Dew,8.1,8.1,2013-07-23
525,Rogue Wizards,6.7,6.7,2016-09-27
526,Dungeon Souls,5.6,5.6,2016-12-02
527,Tyranny: Bastard's Wound,6.8,6.8,2017-09-07
528,FIVE: Guardians of David,6.0,6.0,2015-11-24
