rank,title,score,user_score,release_date
418,The Guild 2: Pirates of the High Seas,8.0,8.0,2007-06-25
419,Grand Ages: Medieval,5.5,5.5,2015-09-25
420,Hearts of Iron IV: Together for Victory,4.4,4.4,2016-12-15
421,Stronghold 2,5.8,5.8,2005-04-18
422,Total War: Rome II - Caesar in Gaul,4.6,4.6,2013-12-12
423,Once Upon a Knight,7.4,7.4,2003-09-25
424,First Battalion,7.6,7.6,2006-08-21
425,Gangland,7.3,7.3,2004-03-04
426,Cossacks 3,5.6,5.6,2016-09-20
427,Defense Technica,7.7,7.7,2013-10-24
428,Crush Your Enemies,6.5,6.5,2016-07-13
429,Sudden Strike 3: Arms for Victory,6.6,6.6,2008-04-01
430,Conflicks - Revolutionary Space Battles,tbd,tbd,2015-11-15
431,Sheltered,4.6,4.6,2016-03-15
432,Republic: The Revolution,7.7,7.7,2003-08-27
433,Total War: Rome II - Empire Divided,5.5,5.5,2017-11-30
434,XIII Century: Death or Glory,7.5,7.5,2008-03-12
435,Little King's Story,7.9,7.9,2016-08-05
436,Planetary Annihilation,5.7,5.7,2013-06-13
437,Conan Unconquered,4.7,4.7,2019-05-29
438,Diggles,7.9,7.9,2002-03-20
439,Northland,7.0,7.0,2004-03-24
440,Project Nomads,7.8,7.8,2002-11-01
441,Kingdom Under Fire II,5.6,5.6,2019-11-18
442,Etherium,6.3,6.3,2015-03-25
443,Warparty,6.6,6.6,2019-03-28
444,Lords of EverQuest,7.7,7.7,2003-12-01
445,Jagged Alliance: Back in Action,5.5,5.5,2012-02-08
446,Breach & Clear: Deadline,6.8,6.8,2015-07-20
447,Europa Universalis: Crown of the North,6.8,6.8,2000-11-09
448,World War II: Panzer Claws,7.4,7.4,2002-11-12
449,The Guild 2,6.9,6.9,2006-10-12
450,Nexagon: Deathmatch,tbd,tbd,2003-07-23
451,StarDrive,6.8,6.8,2013-04-26
452,BCT Commander,tbd,tbd,2002-02-23
453,Original War,8.8,8.8,2001-12-03
454,Dogs of War,tbd,tbd,2000-07-30
455,Pacific Storm: Allies,6.4,6.4,2008-01-28
456,Starvoid,6.0,6.0,2012-08-30
457,Dragon Throne: Battle of Red Cliffs,tbd,tbd,2002-03-26
458,We Are The Dwarves,7.5,7.5,2016-02-25
459,Reign: Conflict of Nations,5.5,5.5,2010-06-28
460,Kingdom Under Fire: The Crusaders,tbd,tbd,2020-02-28
461,Cossacks: Back to War,8.8,8.8,2002-11-20
462,Commandos 2 HD Remaster,2.4,2.4,2020-01-24
